,,,,Date,01/01/2018,01/06/2018
"Water, RNA",Water,ocean,m3 / year,,,
"Water, RNA",Water,groundwater,m3 / year,,,
"Water, RNA",Water,,m3 / year,,,
"Water, RO",Water,river,m3 / year,,,
"Water, RO",Water,groundwater,m3 / year,,,
"Water, RO",Water,,m3 / year,,,
"Water, RoW",Water,river,m3 / year,,,
"Water, RoW",Water,ocean,m3 / year,,,
"Water, RoW",Water,groundwater,m3 / year,,,
"Water, RoW",Water,,m3 / year,,,
"Water, RS",Water,river,m3 / year,,,
"Water, RS",Water,groundwater,m3 / year,,,
"Water, RS",Water,,m3 / year,,,
"Water, RU",Water,river,m3 / year,,,
"Water, RU",Water,ocean,m3 / year,,,
"Water, RU",Water,groundwater,m3 / year,,,
"Water, RU",Water,,m3 / year,,,
"Water, SA",Water,,m3 / year,,,
"Water, SE",Water,river,m3 / year,,,
"Water, SE",Water,ocean,m3 / year,,,
"Water, SE",Water,groundwater,m3 / year,,,
"Water, SE",Water,,m3 / year,,,
"Water, SI",Water,river,m3 / year,,,
"Water, SI",Water,groundwater,m3 / year,,,
"Water, SI",Water,,m3 / year,,,
"Water, SK",Water,river,m3 / year,,,
"Water, SK",Water,ocean,m3 / year,,,
"Water, SK",Water,groundwater,m3 / year,,,
"Water, SK",Water,,m3 / year,,,
"Water, TH",Water,river,m3 / year,,,
"Water, TH",Water,groundwater,m3 / year,,,
"Water, TH",Water,,m3 / year,,,
"Water, TR",Water,river,m3 / year,,,
"Water, TR",Water,ocean,m3 / year,,,
"Water, TR",Water,groundwater,m3 / year,,,
"Water, TR",Water,,m3 / year,,,
"Water, TW",Water,river,m3 / year,,,
"Water, TW",Water,ocean,m3 / year,,,
"Water, TW",Water,groundwater,m3 / year,,,
"Water, TW",Water,,m3 / year,,,
"Water, TZ",Water,,m3 / year,,,
"Water, UA",Water,,m3 / year,,,
"Water, UCTE",Water,,m3 / year,,,
"Water, UCTE without Germany",Water,,m3 / year,,,
"Water, UN-EUROPE",Water,river,m3 / year,,,
"Water, UN-EUROPE",Water,ocean,m3 / year,,,
"Water, UN-EUROPE",Water,,m3 / year,,,
"Water, UN-OCEANIA",Water,river,m3 / year,,,
"Water, UN-OCEANIA",Water,ocean,m3 / year,,,
"Water, UN-OCEANIA",Water,,m3 / year,,,
"Water, US",Water,river,m3 / year,,,
"Water, US",Water,ocean,m3 / year,,,
"Water, US",Water,groundwater,m3 / year,,,
"Water, US",Water,,m3 / year,,,
"Water, WEU",Water,,m3 / year,,,
"Water, ZA",Water,,m3 / year,,,
Xylene,Water,river,kg / year,,,
Xylene,Water,ocean,kg / year,,,
Xylene,Water,,kg / year,,,
Zinc,Water,river,kg / year,,,
Zinc,Water,ocean,kg / year,,,
Zinc,Water,"groundwater, long-term",kg / year,,,
Zinc,Water,groundwater,kg / year,,,
Zinc,Water,,kg / year,,,
Zinc-65,Water,river,Bq / year,,,
Zirconium-95,Water,river,Bq / year,,,
2-Methyl-4-chlorophenoxyacetic acid,Soil,agricultural,kg / year,,,
"2,4-D",Soil,agricultural,kg / year,,,
"2,4-D amines",Soil,agricultural,kg / year,,,
"2,4-D ester",Soil,agricultural,kg / year,,,
Acephate,Soil,agricultural,kg / year,,,
Acetamide,Soil,agricultural,kg / year,,,
Acetochlor,Soil,agricultural,kg / year,,,
Acifluorfen,Soil,agricultural,kg / year,,,
Aclonifen,Soil,agricultural,kg / year,,,
Alachlor,Soil,agricultural,kg / year,,,
Aldicarb,Soil,agricultural,kg / year,,,
Aldrin,Soil,agricultural,kg / year,,,
Alpha-cypermethrin,Soil,agricultural,kg / year,,,
Aluminium,Soil,industrial,kg / year,,,
Aluminium,Soil,agricultural,kg / year,,,
Aluminium,Soil,,kg / year,,,
Ametryn,Soil,agricultural,kg / year,,,
Amidosulfuron,Soil,agricultural,kg / year,,,
Amitraz,Soil,agricultural,kg / year,,,
Anthraquinone,Soil,agricultural,kg / year,,,
Antimony,Soil,agricultural,kg / year,,,
Antimony,Soil,,kg / year,,,
Arsenic,Soil,industrial,kg / year,,,
Arsenic,Soil,agricultural,kg / year,,,
Arsenic,Soil,,kg / year,,,
Asulam,Soil,agricultural,kg / year,,,
Atrazine,Soil,agricultural,kg / year,,,
Azinphos-methyl,Soil,agricultural,kg / year,,,
Azoxystrobin,Soil,agricultural,kg / year,,,
Barium,Soil,industrial,kg / year,,,
Barium,Soil,agricultural,kg / year,,,
Barium,Soil,,kg / year,,,
Benfluralin,Soil,agricultural,kg / year,,,
Benomyl,Soil,agricultural,kg / year,,,
Bensulfuron methyl ester,Soil,agricultural,kg / year,,,
Bentazone,Soil,agricultural,kg / year,,,
"Benzene, pentachloronitro-",Soil,agricultural,kg / year,,,
Bifenox,Soil,agricultural,kg / year,,,
Bifenthrin,Soil,agricultural,kg / year,,,
Bitertanol,Soil,agricultural,kg / year,,,
Boron,Soil,industrial,kg / year,,,
Boron,Soil,agricultural,kg / year,,,
Boron,Soil,,kg / year,,,
Bromacil,Soil,agricultural,kg / year,,,
Bromine,Soil,,kg / year,,,
Bromoxynil,Soil,agricultural,kg / year,,,
Bromuconazole,Soil,agricultural,kg / year,,,
"Butyric acid, 4-(2,4-dichlorophenoxy)-",Soil,agricultural,kg / year,,,
Cadmium,Soil,industrial,kg / year,,,
Cadmium,Soil,agricultural,kg / year,,,
Cadmium,Soil,,kg / year,,,
Calcium,Soil,industrial,kg / year,,,
Calcium,Soil,agricultural,kg / year,,,
Calcium,Soil,,kg / year,,,
Captan,Soil,agricultural,kg / year,,,
Carbaryl,Soil,agricultural,kg / year,,,
Carbendazim,Soil,agricultural,kg / year,,,
Carbetamide,Soil,agricultural,kg / year,,,
Carbofuran,Soil,agricultural,kg / year,,,
Carbon,Soil,industrial,kg / year,,,
Carbon,Soil,agricultural,kg / year,,,
Carbon,Soil,,kg / year,,,
Carfentrazone-ethyl,Soil,agricultural,kg / year,,,
Chlorfenvinphos,Soil,agricultural,kg / year,,,
Chloridazon,Soil,agricultural,kg / year,,,
Chloride,Soil,industrial,kg / year,,,
Chloride,Soil,agricultural,kg / year,,,
Chloride,Soil,,kg / year,,,
Chlorimuron-ethyl,Soil,agricultural,kg / year,,,
Chlorine,Soil,,kg / year,,,
Chlormequat,Soil,agricultural,kg / year,,,
Chlorothalonil,Soil,agricultural,kg / year,,,
Chlorpyrifos,Soil,agricultural,kg / year,,,
Chlorsulfuron,Soil,agricultural,kg / year,,,
Chlortoluron,Soil,agricultural,kg / year,,,
Choline chloride,Soil,agricultural,kg / year,,,
Chromium,Soil,industrial,kg / year,,,
Chromium,Soil,agricultural,kg / year,,,
Chromium,Soil,,kg / year,,,
Chromium VI,Soil,,kg / year,,,
Cinidon-ethyl,Soil,agricultural,kg / year,,,
Clethodim,Soil,agricultural,kg / year,,,
Clodinafop-propargyl,Soil,agricultural,kg / year,,,
Clomazone,Soil,agricultural,kg / year,,,
Clopyralid,Soil,agricultural,kg / year,,,
Cloquintocet-mexyl,Soil,agricultural,kg / year,,,
Cloransulam-methyl,Soil,agricultural,kg / year,,,
Cobalt,Soil,industrial,kg / year,,,
Cobalt,Soil,agricultural,kg / year,,,
Cobalt,Soil,,kg / year,,,
Copper,Soil,industrial,kg / year,,,
Copper,Soil,agricultural,kg / year,,,
Copper,Soil,,kg / year,,,
Cycloxydim,Soil,agricultural,kg / year,,,
Cyfluthrin,Soil,agricultural,kg / year,,,
"Cyhalothrin, gamma-",Soil,agricultural,kg / year,,,
Cymoxanil,Soil,agricultural,kg / year,,,
Cypermethrin,Soil,agricultural,kg / year,,,
Cyproconazole,Soil,agricultural,kg / year,,,
Cyprodinil,Soil,agricultural,kg / year,,,
Deltamethrin,Soil,agricultural,kg / year,,,
Diazinon,Soil,agricultural,kg / year,,,
Dicamba,Soil,agricultural,kg / year,,,
Dichlorprop,Soil,agricultural,kg / year,,,
Dichlorprop-P,Soil,agricultural,kg / year,,,
Diclofop,Soil,agricultural,kg / year,,,
Diclofop-methyl,Soil,agricultural,kg / year,,,
Dicrotophos,Soil,agricultural,kg / year,,,
Difenoconazole,Soil,agricultural,kg / year,,,
Diflubenzuron,Soil,agricultural,kg / year,,,
Diflufenican,Soil,agricultural,kg / year,,,
Diflufenzopyr-sodium,Soil,agricultural,kg / year,,,
Dimethachlor,Soil,agricultural,kg / year,,,
Dimethenamid,Soil,agricultural,kg / year,,,
Dimethoate,Soil,agricultural,kg / year,,,
Dimethomorph,Soil,agricultural,kg / year,,,
Dipropylthiocarbamic acid S-ethyl ester,Soil,agricultural,kg / year,,,
Diquat,Soil,agricultural,kg / year,,,
Diquat dibromide,Soil,agricultural,kg / year,,,
Dithianone,Soil,agricultural,kg / year,,,
Diuron,Soil,agricultural,kg / year,,,
Endosulfan,Soil,agricultural,kg / year,,,
Endothall,Soil,agricultural,kg / year,,,
Epoxiconazole,Soil,agricultural,kg / year,,,
Esfenvalerate,Soil,agricultural,kg / year,,,
Ethalfluralin,Soil,agricultural,kg / year,,,
Ethephon,Soil,agricultural,kg / year,,,
Ethofumesate,Soil,agricultural,kg / year,,,
Ethoprop,Soil,agricultural,kg / year,,,
Fenamiphos,Soil,agricultural,kg / year,,,
Fenbuconazole,Soil,agricultural,kg / year,,,
Fenoxaprop,Soil,agricultural,kg / year,,,
Fenoxaprop-P ethyl ester,Soil,agricultural,kg / year,,,
Fenoxaprop ethyl ester,Soil,agricultural,kg / year,,,
Fenoxycarb,Soil,agricultural,kg / year,,,
Fenpiclonil,Soil,agricultural,kg / year,,,
Fenpropidin,Soil,agricultural,kg / year,,,
Fenpropimorph,Soil,agricultural,kg / year,,,
Fentin hydroxide,Soil,agricultural,kg / year,,,
Fipronil,Soil,agricultural,kg / year,,,
Florasulam,Soil,agricultural,kg / year,,,
Fluazifop-P-butyl,Soil,agricultural,kg / year,,,
Flucarbazone sodium salt,Soil,agricultural,kg / year,,,
Fludioxonil,Soil,agricultural,kg / year,,,
Flufenacet,Soil,agricultural,kg / year,,,
Flumetsulam,Soil,agricultural,kg / year,,,
Flumiclorac-pentyl,Soil,agricultural,kg / year,,,
Flumioxazin,Soil,agricultural,kg / year,,,
Fluoride,Soil,industrial,kg / year,,,
Fluoride,Soil,,kg / year,,,
Flupyrsulfuron-methyl,Soil,agricultural,kg / year,,,
Fluquinconazole,Soil,agricultural,kg / year,,,
Fluroxypyr,Soil,agricultural,kg / year,,,
Flurtamone,Soil,agricultural,kg / year,,,
Flusilazole,Soil,agricultural,kg / year,,,
Flutolanil,Soil,agricultural,kg / year,,,
Folpet,Soil,agricultural,kg / year,,,
Fomesafen,Soil,agricultural,kg / year,,,
Foramsulfuron,Soil,agricultural,kg / year,,,
Fosetyl-aluminium,Soil,agricultural,kg / year,,,
"Fungicides, unspecified",Soil,agricultural,kg / year,,,
Furathiocarb,Soil,agricultural,kg / year,,,
Glufosinate,Soil,agricultural,kg / year,,,
Glufosinate ammonium,Soil,agricultural,kg / year,,,
Glyphosate,Soil,industrial,kg / year,,,
Glyphosate,Soil,agricultural,kg / year,,,
Halosulfuron-methyl,Soil,agricultural,kg / year,,,
Haloxyfop- (R) Methylester,Soil,agricultural,kg / year,,,
"Herbicides, unspecified",Soil,agricultural,kg / year,,,
Hexazinone,Soil,agricultural,kg / year,,,
Hydramethylnon,Soil,agricultural,kg / year,,,
"Hydrocarbons, unspecified",Soil,,kg / year,,,
Imazamox,Soil,agricultural,kg / year,,,
Imazapyr,Soil,agricultural,kg / year,,,
Imazaquin,Soil,agricultural,kg / year,,,
Imazethapyr,Soil,agricultural,kg / year,,,
Imidacloprid,Soil,agricultural,kg / year,,,
"Insecticides, unspecified",Soil,agricultural,kg / year,,,
Iodosulfuron,Soil,agricultural,kg / year,,,
Iodosulfuron-methyl-sodium,Soil,agricultural,kg / year,,,
Ioxynil,Soil,agricultural,kg / year,,,
Iprodione,Soil,agricultural,kg / year,,,
Iron,Soil,industrial,kg / year,,,
Iron,Soil,agricultural,kg / year,,,
Iron,Soil,,kg / year,,,
Isoproturon,Soil,agricultural,kg / year,,,
Isoxaflutole,Soil,agricultural,kg / year,,,
Kresoxim-methyl,Soil,agricultural,kg / year,,,
Lactofen,Soil,agricultural,kg / year,,,
Lambda-cyhalothrin,Soil,agricultural,kg / year,,,
Lead,Soil,industrial,kg / year,,,
Lead,Soil,agricultural,kg / year,,,
Lead,Soil,,kg / year,,,
Lenacil,Soil,agricultural,kg / year,,,
Linuron,Soil,agricultural,kg / year,,,
Lithium,Soil,,kg / year,,,
Magnesium,Soil,industrial,kg / year,,,
Magnesium,Soil,agricultural,kg / year,,,
Malathion,Soil,agricultural,kg / year,,,
Maleic hydrazide,Soil,agricultural,kg / year,,,
Mancozeb,Soil,agricultural,kg / year,,,
Mandipropamid,Soil,agricultural,kg / year,,,
Maneb,Soil,agricultural,kg / year,,,
Manganese,Soil,industrial,kg / year,,,
Manganese,Soil,agricultural,kg / year,,,
Manganese,Soil,,kg / year,,,
MCPB,Soil,agricultural,kg / year,,,
Mecoprop,Soil,agricultural,kg / year,,,
Mecoprop-P,Soil,agricultural,kg / year,,,
Mefenpyr,Soil,agricultural,kg / year,,,
Mefenpyr-diethyl,Soil,agricultural,kg / year,,,
Mepiquat chloride,Soil,agricultural,kg / year,,,
Mercury,Soil,industrial,kg / year,,,
Mercury,Soil,agricultural,kg / year,,,
Mesosulfuron-methyl (prop),Soil,agricultural,kg / year,,,
Mesotrione,Soil,agricultural,kg / year,,,
Metalaxil,Soil,agricultural,kg / year,,,
Metalaxyl-M,Soil,agricultural,kg / year,,,
Metaldehyde,Soil,agricultural,kg / year,,,
Metam-sodium dihydrate,Soil,agricultural,kg / year,,,
Metamitron,Soil,agricultural,kg / year,,,
Metazachlor,Soil,agricultural,kg / year,,,
Metconazole,Soil,agricultural,kg / year,,,
Methomyl,Soil,agricultural,kg / year,,,
Methoxyfenozide,Soil,agricultural,kg / year,,,
Metiram,Soil,agricultural,kg / year,,,
Metolachlor,Soil,agricultural,kg / year,,,
Metosulam,Soil,agricultural,kg / year,,,
Metribuzin,Soil,agricultural,kg / year,,,
Metsulfuron-methyl,Soil,agricultural,kg / year,,,
Mineral oil,Soil,agricultural,kg / year,,,
Molinate,Soil,agricultural,kg / year,,,
Molybdenum,Soil,agricultural,kg / year,,,
Molybdenum,Soil,,kg / year,,,
Monocrotophos,Soil,agricultural,kg / year,,,
Monosodium acid methanearsonate,Soil,agricultural,kg / year,,,
Napropamide,Soil,agricultural,kg / year,,,
Nickel,Soil,industrial,kg / year,,,
Nickel,Soil,agricultural,kg / year,,,
Nickel,Soil,,kg / year,,,
Nicosulfuron,Soil,agricultural,kg / year,,,
Nitrate,Soil,,kg / year,,,
Nitrogen,Soil,industrial,kg / year,,,
"Oils, biogenic",Soil,industrial,kg / year,,,
"Oils, biogenic",Soil,forestry,kg / year,,,
"Oils, biogenic",Soil,,kg / year,,,
"Oils, unspecified",Soil,industrial,kg / year,,,
"Oils, unspecified",Soil,forestry,kg / year,,,
"Oils, unspecified",Soil,agricultural,kg / year,,,
"Oils, unspecified",Soil,,kg / year,,,
Orbencarb,Soil,agricultural,kg / year,,,
Organic carbon,Soil,,kg / year,,,
Oryzalin,Soil,agricultural,kg / year,,,
Oxamyl,Soil,agricultural,kg / year,,,
Oxydemeton methyl,Soil,agricultural,kg / year,,,
Oxyfluorfen,Soil,agricultural,kg / year,,,
"PAH, polycyclic aromatic hydrocarbons",Soil,,kg / year,,,
Paraquat,Soil,agricultural,kg / year,,,
Parathion,Soil,agricultural,kg / year,,,
"Parathion, methyl",Soil,agricultural,kg / year,,,
Pendimethalin,Soil,agricultural,kg / year,,,
Permethrin,Soil,agricultural,kg / year,,,
"Pesticides, unspecified",Soil,agricultural,kg / year,,,
Phenmedipham,Soil,agricultural,kg / year,,,
"Phenol, pentachloro-",Soil,,kg / year,,,
Phorate,Soil,agricultural,kg / year,,,
Phosmet,Soil,agricultural,kg / year,,,
Phosphorus,Soil,industrial,kg / year,,,
Phosphorus,Soil,agricultural,kg / year,,,
Picloram,Soil,agricultural,kg / year,,,
Picoxystrobin,Soil,agricultural,kg / year,,,
Piperonyl butoxide,Soil,agricultural,kg / year,,,
Pirimicarb,Soil,agricultural,kg / year,,,
Potassium,Soil,industrial,kg / year,,,
Potassium,Soil,agricultural,kg / year,,,
Potassium,Soil,,kg / year,,,
Primisulfuron,Soil,agricultural,kg / year,,,
Prochloraz,Soil,agricultural,kg / year,,,
Procymidone,Soil,agricultural,kg / year,,,
Profenofos,Soil,agricultural,kg / year,,,
Prohexadione-calcium,Soil,agricultural,kg / year,,,
Prometryn,Soil,agricultural,kg / year,,,
Pronamide,Soil,agricultural,kg / year,,,
Propachlor,Soil,agricultural,kg / year,,,
Propamocarb HCl,Soil,agricultural,kg / year,,,
Propanil,Soil,agricultural,kg / year,,,
Propargite,Soil,agricultural,kg / year,,,
Propiconazole,Soil,agricultural,kg / year,,,
Propoxycarbazone-sodium (prop),Soil,agricultural,kg / year,,,
Prosulfuron,Soil,agricultural,kg / year,,,
Prothioconazol,Soil,agricultural,kg / year,,,
Pymetrozine,Soil,agricultural,kg / year,,,
Pyraclostrobin (prop),Soil,agricultural,kg / year,,,
Pyrethrin,Soil,agricultural,kg / year,,,
Pyrimethanil,Soil,agricultural,kg / year,,,
Pyrithiobac sodium salt,Soil,agricultural,kg / year,,,
Quinclorac,Soil,agricultural,kg / year,,,
Quinoxyfen,Soil,agricultural,kg / year,,,
Quizalofop-P,Soil,agricultural,kg / year,,,
Quizalofop-p-ethyl,Soil,agricultural,kg / year,,,
Quizalofop ethyl ester,Soil,agricultural,kg / year,,,
Rimsulfuron,Soil,agricultural,kg / year,,,
Rotenone,Soil,agricultural,kg / year,,,
Selenium,Soil,agricultural,kg / year,,,
Selenium,Soil,,kg / year,,,
Sethoxydim,Soil,agricultural,kg / year,,,
Silicon,Soil,industrial,kg / year,,,
Silicon,Soil,agricultural,kg / year,,,
Silicon,Soil,,kg / year,,,
Silthiofam,Soil,agricultural,kg / year,,,
Silver,Soil,agricultural,kg / year,,,
Silver,Soil,,kg / year,,,
Simazine,Soil,agricultural,kg / year,,,
Sodium,Soil,industrial,kg / year,,,
Sodium,Soil,,kg / year,,,
Spinosad,Soil,agricultural,kg / year,,,
Spiroxamine,Soil,agricultural,kg / year,,,
Strontium,Soil,industrial,kg / year,,,
Strontium,Soil,agricultural,kg / year,,,
Strontium,Soil,,kg / year,,,
Sulfate,Soil,,kg / year,,,
Sulfentrazone,Soil,agricultural,kg / year,,,
Sulfosate,Soil,agricultural,kg / year,,,
Sulfosulfuron,Soil,agricultural,kg / year,,,
Sulfur,Soil,industrial,kg / year,,,
Sulfur,Soil,agricultural,kg / year,,,
Sulfur,Soil,,kg / year,,,
Sulfuric acid,Soil,agricultural,kg / year,,,
Tebuconazole,Soil,agricultural,kg / year,,,
Tebufenpyrad,Soil,agricultural,kg / year,,,
Tebupirimphos,Soil,agricultural,kg / year,,,
Tebutam,Soil,agricultural,kg / year,,,
Teflubenzuron,Soil,agricultural,kg / year,,,
Tefluthrin,Soil,agricultural,kg / year,,,
Terbacil,Soil,agricultural,kg / year,,,
Terbufos,Soil,agricultural,kg / year,,,
Thiamethoxam,Soil,agricultural,kg / year,,,
"Thiazole, 2-(thiocyanatemethylthio)benzo-",Soil,agricultural,kg / year,,,
Thidiazuron,Soil,agricultural,kg / year,,,
Thifensulfuron-methyl,Soil,agricultural,kg / year,,,
Thiobencarb,Soil,agricultural,kg / year,,,
Thiodicarb,Soil,agricultural,kg / year,,,
Thiram,Soil,agricultural,kg / year,,,
Tin,Soil,agricultural,kg / year,,,
Titanium,Soil,agricultural,kg / year,,,
Titanium,Soil,,kg / year,,,
Tolylfluanid,Soil,agricultural,kg / year,,,
Tralkoxydim,Soil,agricultural,kg / year,,,
Triadimenol,Soil,agricultural,kg / year,,,
Triallate,Soil,agricultural,kg / year,,,
Triasulfuron,Soil,agricultural,kg / year,,,
Tribenuron,Soil,agricultural,kg / year,,,
Tribenuron-methyl,Soil,agricultural,kg / year,,,
Tribufos,Soil,agricultural,kg / year,,,
Trichlorfon,Soil,agricultural,kg / year,,,
Triclopyr,Soil,agricultural,kg / year,,,
Trifloxystrobin,Soil,agricultural,kg / year,,,
Trifluralin,Soil,agricultural,kg / year,,,
Triforine,Soil,agricultural,kg / year,,,
Trinexapac-ethyl,Soil,agricultural,kg / year,,,
Vanadium,Soil,agricultural,kg / year,,,
Vanadium,Soil,,kg / year,,,
Vinclozolin,Soil,agricultural,kg / year,,,
Zeta-cypermethrin,Soil,agricultural,kg / year,,,
Zinc,Soil,industrial,kg / year,,,
Zinc,Soil,agricultural,kg / year,,,
Zinc,Soil,,kg / year,,,
