"Acronym, Common Name or Chemical Name",Chemical Formula,Lifetime (Years),Radiative Efficiency (W m-2 ppb-1),AGWP 20-year (W m-2 yr kg-1),GWP 20-year,AGWP 100-year (W m-2 yr kg-1),GWP 100-year,AGTP 20-year (K kg-1),GTP 20-year,AGTP 50-year (K kg-1),GTP 50-year,AGTP 100-year (K kg-1),GTP 100-year
HG’-03,CH3O(CF2CF2O)3CH3,2,0.76,2.03E-11,812,2.03E-11,221,2.05E-13,299,2.41E-14,39,1.67E-14,31
HFE-329me3,CF3CFHCF2OCF3,40,0.48,1.79E-10,7170,4.17E-10,4550,4.85E-12,7090,2.89E-12,4690,1.12E-12,2040
"3,3,4,4,5,5,6,6,7,7,7-Undecafluoroheptan-1-ol",CF3(CF2)4CH2CH2OH,0.054757016,0.06,3.91E-14,2,3.91E-14,<1,3.12E-16,<1,4.39E-17,<1,3.21E-17,<1
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Pentadecafluorononan-1-ol",CF3(CF2)6CH2CH2OH,0.054757016,0.07,3E-14,1,3E-14,<1,2.4E-16,<1,3.37E-17,<1,2.46E-17,<1
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Nonadecafluoroundecan-1-ol",CF3(CF2)8CH2CH2OH,0.054757016,0.05,1.72E-14,<1,1.72E-14,<1,1.37E-16,<1,1.93E-17,<1,1.41E-17,<1
"2-Chloro-1,1,2-trifluoro-1-methoxyethane",CH3OCF2CHFCl,1.4,0.21,1.12E-11,449,1.12E-11,122,1.05E-13,153,1.31E-14,21,9.24E-15,17
PFPMIE (perfluoropolymethylisopropyl ether),CF3OCF(CF3)CF2OCF2OCF3,800,0.65,1.87E-10,7500,8.9E-10,9710,5.52E-12,8070,6.11E-12,9910,6.15E-12,11300
HFE-216,CF3OCF=CF2,0.022997947,0.02,1.92E-14,<1,1.92E-14,<1,1.53E-16,<1,2.15E-17,<1,1.58E-17,<1
Trifluoromethyl formate,HCOOCF3,3.5,0.31,5.37E-11,2150,5.39E-11,588,6.73E-13,984,6.85E-14,111,4.47E-14,82
Perfluoroethyl formate,HCOOCF2CF3,3.5,0.44,5.3E-11,2130,5.32E-11,580,6.64E-13,971,6.76E-14,110,4.41E-14,81
Perfluoropropyl formate,HCOOCF2CF2CF3,2.6,0.5,3.45E-11,1380,3.45E-11,376,3.8E-13,555,4.19E-14,68,2.85E-14,52
Perfluorobutyl formate,HCOOCF2CF2CF2CF3,3,0.56,3.59E-11,1440,3.59E-11,392,4.19E-13,613,4.45E-14,72,2.97E-14,54
"2,2,2-Trifluoroethyl formate",HCOOCH2CF3,0.4,0.16,3.07E-12,123,3.07E-12,33,2.55E-14,37,3.48E-15,6,2.52E-15,5
"3,3,3-Trifluoropropyl formate",HCOOCH2CH2CF3,0.3,0.13,1.6E-12,64,1.6E-12,17,1.31E-14,19,1.8E-15,3,1.31E-15,2
"1,2,2,2-Tetrafluoroethyl formate",HCOOCHFCF3,3.2,0.35,4.3E-11,1720,4.31E-11,470,5.17E-13,755,5.39E-14,87,3.57E-14,65
"1,1,1,3,3,3-Hexafluoropropan-2-yl formate",HCOOCH(CF3)2,3.2,0.33,3.05E-11,1220,3.05E-11,333,3.66E-13,535,3.81E-14,62,2.53E-14,46
Perfluorobutyl acetate,CH3COOCF2CF2CF2CF3,0.059958932,0.12,1.52E-13,6,1.52E-13,2,1.21E-15,2,1.71E-16,<1,1.25E-16,<1
Perfluoropropyl acetate,CH3COOCF2CF2CF3,0.059958932,0.11,1.59E-13,6,1.59E-13,2,1.27E-15,2,1.78E-16,<1,1.3E-16,<1
Perfluoroethyl acetate,CH3COOCF2CF3,0.059958932,0.1,1.89E-13,8,1.89E-13,2,1.51E-15,2,2.12E-16,<1,1.55E-16,<1
Methyl carbonofluoridate,FCOOCH3,1.8,0.07,8.74E-12,350,8.74E-12,95,8.6E-14,126,1.03E-14,17,7.21E-15,13
"1,1-Difluoroethyl carbonofluoridate",FCOOCF2CH3,0.3,0.17,2.46E-12,99,2.46E-12,27,2.02E-14,30,8.28E-14,5,2.02E-15,4
"1,1-Difluoroethyl 2,2,2-trifluoroacetate",CF3COOCF2CH3,0.3,0.27,2.83E-12,113,2.83E-12,31,2.33E-14,34,3.2E-15,5,2.32E-15,4
"Ethyl 2,2,2-trifluoroacetate",CF3COOCH2CH3,0.059958932,0.05,1.26E-13,5,1.26E-13,1,1E-15,1,1.41E-16,<1,1.03E-16,<1
"2,2,2-Trifluoroethyl 2,2,2-trifluoroacetate",CF3COOCH2CF3,0.150034223,0.15,6.27E-13,25,6.27E-13,7,5.06E-15,7,7.07E-16,1,5.15E-16,<1
"Methyl 2,2,2-trifluoroacetate",CF3COOCH3,0.6,0.18,4.8E-12,192,4.8E-12,52,4.08E-14,60,5.47E-15,9,3.95E-15,7
"Methyl 2,2-difluoroacetate",HCF2COOCH3,0.109787817,0.05,3E-13,12,3E-13,3,2.41E-15,4,3.38E-16,<1,2.47E-16,<1
